사자,54,180
나마,71,180
라아,88,149
라바,80,178
자타,99,151
카마,88,150
라바,65,159
차타,75,159
바타,73,186
아가,65,144
가라,43,179
라마,73,187
사아,60,149
가가,67,141
가마,62,158
마하,76,197
자마,86,158
나사,48,161
바타,42,187
파하,62,169
라아,49,188
마차,41,159
아라,61,159
나바,72,147
마라,86,159
사차,53,173
차사,43,195
파바,95,185
가바,81,175
카다,60,146
다타,54,170
타타,67,177
사파,43,145
카파,45,149
마라,79,169
다사,92,166
가타,74,177
라다,47,140
마파,46,180
나다,44,172
사타,85,144
다카,51,167
마다,59,191
라아,60,185
가파,89,164
사자,71,158
바라,67,162
카나,98,172
마라,41,190
사자,66,181
다가,44,155
다아,47,159
다타,66,199
차나,84,141
차마,40,168
아다,81,160
차마,78,183
타라,91,162
자라,53,167
바아,53,148
다사,64,165
타사,82,157
아나,54,167
바타,84,190
나하,59,167
마라,80,156
다차,48,154
아차,44,156
라차,65,194
카다,72,155
하자,40,152
카하,51,146
마차,63,153
타파,50,147
타자,74,199
파아,94,152
사하,84,179
카아,56,179
타하,47,152
다마,85,148
사하,80,166
사아,71,159
자차,43,169
타마,49,140
다가,91,193
타다,69,165
바타,66,143
나하,63,190
다파,73,169
마파,41,162
파자,98,180
카마,47,181
바마,61,189
파차,56,172
하마,78,142
나자,46,196
바나,73,158
타카,96,151
타다,77,158
파타,49,182
타카,44,194
하다,86,199
바라,83,147
가파,86,190
가아,98,174
사나,74,165
가아,85,180
자나,65,140
바타,50,181
마가,65,180
마차,51,174
카나,51,195
카바,71,187
차바,88,161
라아,82,193
카파,61,171
나아,88,157
타사,90,153
파다,44,181
카바,85,178
나바,78,142
라파,50,181
파바,41,199
사바,84,195
사나,87,174
타사,90,154
카아,53,150
타라,60,174
차자,77,143
바타,54,179
가타,87,150
나마,73,175
카카,79,177
파라,51,193
마아,54,177
다아,77,141
하하,60,162
자라,48,198
차가,87,160
파파,86,177
사가,71,193
타파,75,180
다차,53,175
타자,82,187
자사,46,175
사아,46,157
바차,93,197
아마,65,173
파타,61,179
하사,52,167
나마,98,148
파파,53,153
나아,47,155
아파,84,147
파나,62,146
카자,70,155
나하,49,189
타파,86,190
카아,46,140
하하,82,151
라가,69,183
하바,49,196
하나,72,188
바마,41,195
차나,82,195
카자,67,158
하라,98,197
자자,71,154
라타,80,179
하다,63,148
다가,83,197
자파,67,169
다라,76,164
차하,45,199
타타,60,176
마사,71,175
라카,92,151
파사,80,180
자아,52,172
바타,54,145
마차,92,149
가나,96,170
마나,98,175
라바,66,193
아카,57,142
카바,86,165
가나,75,156
자라,60,178
차파,88,193
파가,40,174
하파,77,174
자자,92,183
하차,68,188
타가,68,155
타타,97,148
타파,68,140
다카,58,153
하라,63,179
카라,42,164
바사,94,161
카마,49,165
차나,60,150
카아,68,160
하차,88,179
가마,85,175
카타,52,195
아아,65,180
나바,57,164
차카,62,189
파자,83,197
자파,53,174
타카,74,198
하사,73,143
파나,56,140
하나,60,158
가바,79,168
바아,50,160
카라,40,154
다마,71,191
아사,79,169
마아,92,184
나마,68,143
자자,49,189
바나,79,155
바하,87,180
나바,91,184
라다,72,151
다아,99,180
파가,51,145
하파,41,143
다타,82,153
하타,91,186
타차,81,147
아아,42,194
하자,89,157
다나,70,199
가아,44,188
차마,89,148
나가,97,185
타자,57,187
차가,81,188
파아,97,163
라차,81,151
타자,64,193
사마,80,141
마파,80,176
나바,46,186
차파,66,197
라가,71,192
라차,46,153
나가,76,156
하타,98,184
아자,52,145
나다,96,166
라바,97,172
하마,66,176
마가,68,154
파자,54,143
차바,92,158
카차,56,184
바마,88,168
사바,80,176
가아,56,144
타파,59,157
하라,96,152
라자,69,182
아사,48,176
파타,43,164
마하,85,157
차자,83,142
나차,53,172
바마,84,194
타사,88,156
자차,67,183
바사,94,186
다자,75,146
바카,46,141
차자,91,179
사차,86,190
마사,41,169
다사,81,195
가카,72,157
나가,97,161
마다,46,184
라타,89,190
가바,76,147
카하,76,195
차타,43,188
파타,49,178
하파,65,192
차바,67,177
하나,76,197
차타,53,168
카바,50,188
파타,99,158
카파,58,143
하자,60,168
카카,78,194
파나,52,193
자라,47,151
바타,92,192
아파,84,165
사아,97,146
가하,71,166
아다,69,162
하자,62,168
라하,53,193
타나,66,164
차사,66,191
아파,90,157
마다,87,191
다아,94,181
나타,69,192
마차,76,195
파라,78,166
나카,75,171
차하,82,165
가사,84,177
파파,83,141
라나,56,182
타나,55,168
사라,97,186
자자,82,185
아다,82,163
바카,74,179
타가,58,193
사하,43,186
다바,59,196
사타,99,154
파가,56,197
차아,42,173
가타,54,191
차타,69,167
나아,99,199
파카,48,160
하타,76,190
가타,90,192
가다,49,154
하마,70,191
타자,46,172
다라,77,142
바사,59,142
차자,86,198
라라,71,175
차사,85,186
사가,83,145
아다,98,160
파타,76,199
타가,43,174
가마,93,177
하나,70,190
하라,86,186
자차,57,174
가바,61,176
사카,65,179
가아,50,148
파라,82,187
카라,61,178
아가,76,192
파하,73,144
나파,83,192
가차,51,174
아타,64,146
다다,56,188
나사,66,171
카파,60,197
사나,85,145
타카,94,194
차마,73,174
차자,85,171
가아,72,146
사다,80,171
사바,51,198
마하,57,167
나다,75,199
자마,90,168
바파,60,185
다자,64,190
마카,59,175
다라,86,156
아카,51,190
라카,68,170
차카,87,197
가카,80,190
가마,80,172
나다,41,199
사아,92,147
차마,87,179
타다,72,147
가카,77,149
자파,55,166
라다,55,178
카바,70,190
사카,59,191
차아,81,176
바사,85,193
타바,67,144
하하,67,174
마아,96,185
나나,86,148
나하,43,164
파바,96,144
파차,61,179
하카,52,174
파나,86,146
나다,86,164
하하,83,149
자차,68,169
차아,95,143
카마,80,195
아타,54,174
차다,73,160
나아,63,142
나하,94,169
자타,49,162
타사,86,198
마다,57,187
하하,87,197
나가,81,175
가가,48,155
라나,51,161
카하,79,184
사카,81,154
마자,42,186
라라,58,180
자차,47,157
아마,91,160
타바,74,182
카차,58,163
자타,49,192
카사,73,183
자마,97,168
다라,40,152
카사,98,181
다하,95,152
사바,66,170
다파,90,143
아바,51,156
나아,51,183
하아,60,162
타아,86,181
다타,51,154
나하,88,196
하다,76,179
자나,42,171
아차,66,187
자라,83,166
타사,72,188
마타,96,173
차나,41,160
카마,71,199
타사,50,152
바차,80,156
카마,82,189
아차,77,154
아타,66,167
가차,92,166
카아,53,141
타다,94,148
마자,69,197
하다,80,140
하다,63,160
파하,93,168
차나,98,157
나아,79,151
카자,59,173
파다,78,176
차파,67,177
라라,89,157
파카,99,156
자자,73,147
마마,62,150
바카,64,189
마마,85,183
나사,92,190
차바,47,197
라파,84,166
바차,52,165
마라,63,176
타타,49,188
나파,43,154
마아,80,140
다나,88,157
카파,86,146
타라,49,146
타마,48,192
라카,97,146
라라,63,189
카카,50,172
하가,96,150
마나,52,171
하타,90,170
가타,63,165
라사,61,146
하사,81,155
하차,50,197
자자,97,152
라파,47,141
마다,71,142
사라,81,185
자바,83,149
아다,46,142
아사,68,167
다자,50,161
바차,40,149
차파,71,166
하자,47,159
차하,82,169
자타,98,161
나하,45,177
자마,77,183
아라,66,170
라가,55,154
타다,55,149
바아,60,163
라사,79,199
라마,57,199
아차,59,192
파라,65,157
하파,78,150
마마,67,158
타가,50,192
카사,80,151
다하,46,157
마다,44,188
아바,69,168
타다,74,141
아파,85,177
나자,47,159
자파,67,149
파라,59,170
차하,43,151
타가,71,197
타타,57,185
바자,99,177
라사,94,190
타하,94,180
사아,85,177
아다,95,158
차카,96,166
바바,53,194
하라,78,175
다바,74,186
아다,78,171
나나,40,175
바다,59,172
타바,74,156
파하,54,199
라다,46,156
나나,76,155
하나,70,148
타다,91,156
라마,40,175
바파,63,176
가자,85,148
아파,53,163
바사,52,198
라차,43,174
다하,99,153
카나,51,172
마파,72,176
하마,66,157
아타,65,141
바마,41,159
차바,50,180
자타,94,153
타사,78,192
나타,73,165
카가,54,162
나다,87,186
라바,71,151
라아,60,143
하라,42,165
바타,43,194
하라,45,145
다자,57,197
사파,40,190
마타,70,188
파자,98,165
파차,53,169
마아,58,193
가다,74,154
파차,41,185
라파,73,198
하자,55,141
나가,93,190
파카,52,164
다자,50,148
마차,71,187
라파,63,164
바차,50,188
마라,64,184
자사,94,154
가자,96,168
하아,65,196
다가,78,149
라하,68,163
자나,50,164
파마,53,159
아다,70,195
나바,56,160
하가,85,164
차카,68,180
타나,53,169
다차,68,161
나사,89,170
다자,99,181
타파,74,191
타라,68,151
라사,73,199
카나,93,187
자아,79,161
차사,69,190
바하,41,146
파바,63,178
하자,87,168
자사,74,173
바카,74,199
하아,93,141
가사,67,177
파바,72,198
가바,65,146
하아,80,152
아사,51,158
바다,91,147
타마,62,196
마아,71,177
가라,42,189
파차,50,146
하차,61,147
파타,43,186
타하,96,191
라아,78,186
라자,87,198
하차,97,145
차나,55,182
가아,67,140
사바,82,182
바나,51,158
자다,82,194
차가,41,173
사나,83,181
바파,69,161
자자,68,199
파파,49,162
차파,78,197
아타,67,193
바나,52,196
아마,51,176
나가,80,189
라하,58,166
가카,47,171
사마,89,191
카아,91,190
하아,77,174
아아,41,160
아하,43,193
마나,85,155
차다,89,146
바차,68,198
가타,87,163
카가,90,183
파나,55,143
아바,86,186
마가,65,147
파바,80,161
바아,45,175
파자,68,177
아카,45,164
가사,99,185
하마,80,164
아가,82,168
하나,88,199
차바,70,149
자라,46,170
가가,96,157
마바,88,196
사카,80,159
아하,73,171
마자,86,140
사다,81,192
자자,88,169
마바,95,171
타바,97,178
차사,48,172
가자,41,161
사카,59,162
바타,43,159
자하,49,198
나아,72,141
사자,83,163
아마,69,173
파나,82,149
카자,54,198
라사,64,197
바타,65,161
마파,85,166
자카,54,168
하나,74,193
카나,87,169
파아,79,169
차다,57,167
가다,90,154
하라,46,173
자사,80,164
아바,78,184
가마,89,164
차하,95,199
나타,51,163
아아,62,153
가라,57,196
다하,79,148
마바,51,186
파아,61,185
자라,66,175
가사,77,164
아바,63,183
마바,82,179
아가,54,174
마파,81,161
바바,72,174
타타,70,148
바타,89,146
카마,88,166
자파,94,159
라차,84,153
가타,92,157
아타,67,163
자카,89,197
하타,96,163
차라,84,167
타마,94,189
다나,67,192
차차,77,193
가사,87,179
자파,88,187
파가,71,152
자타,57,167
차타,45,169
마차,50,197
자하,98,180
다사,58,194
카바,83,199
카카,99,184
가하,93,147
하가,72,188
차마,74,159
아사,65,172
자타,97,156
차라,40,145
바파,50,149
라가,65,153
나타,51,191
카바,73,173
다라,49,147
아라,98,171
바사,52,183
하타,68,195
라아,71,178
하나,61,156
카사,96,194
사아,50,180
아라,47,189
아파,82,156
나자,66,198
파아,75,147
하하,88,171
타카,51,159
라자,66,143
다라,45,175
아마,68,141
카아,88,188
자타,46,177
다마,98,185
자마,90,158
차가,74,156
하사,87,147
바가,70,185
아아,77,172
카하,71,157
아파,76,186
자가,73,191
바가,67,140
나다,59,169
아바,57,198
라라,49,183
라다,57,198
